"OrgID" "Amount" "Group"
1 5782457 "Group1"
2 2280221 "Group3"
3 3260741 "Group4"
4 3869420 "Group1"
5 3950578 "Group1"
6 2058883 "Group2"
7 2949416 "Group1"
8 3062350 "Group3"
9 318064 "Group1"
10 794417 "Group3"
11 4130003 "Group1"
12 3967332 "Group2"
13 1005678 "Group1"
14 1188248 "Group1"
15 2850573 "Group1"
16 479439 "Group3"
17 2312295 "Group1"
18 1383485 "Group4"
19 1186700 "Group2"
20 1779662 "Group2"
21 1879962 "Group1"
22 1474556 "Group4"
23 3089206 "Group2"
24 1007346 "Group1"
25 510804 "Group4"
26 1981697 "Group1"
27 518554 "Group4"
28 1155170 "Group3"
29 433781 "Group2"
30 1142325 "Group1"
31 977500 "Group1"
32 1e+06 "Group1"
33 286322 "Group2"
34 1859328 "Group1"
35 1026168 "Group1"
36 1694679 "Group2"
37 2059498 "Group4"
38 723878 "Group2"
39 782275 "Group1"
40 741500 "Group1"
41 1131454 "Group2"
42 3697546 "Group2"
43 1068658 "Group2"
44 1239369 "Group1"
45 1968804 "Group1"
46 1086304 "Group2"
47 2896662 "Group1"
48 1994458 "Group1"
49 979437 "Group2"
50 1272441 "Group2"
51 482625 "Group3"
52 3239687 "Group1"
53 2627366 "Group2"
54 1012268 "Group2"
55 1609594 "Group1"
56 2820013 "Group1"
57 1467953 "Group1"
58 2660204 "Group1"
59 671298 "Group1"
60 1720290 "Group1"
61 628891 "Group3"
62 1213371 "Group1"
63 1106309 "Group3"
64 1795304 "Group1"
65 1058870 "Group1"
66 1776440 "Group1"
67 2069311 "Group3"
68 1252057 "Group2"
69 90000 "Group1"
70 1172920 "Group4"
71 421673 "Group2"
72 1405415 "Group1"
73 1462662 "Group3"
74 1374748 "Group2"
75 985096 "Group2"
76 1657500 "Group1"
77 962684 "Group3"
78 940000 "Group3"
79 1210600 "Group1"
80 815750 "Group1"
81 3963973 "Group1"
82 1437457 "Group1"
83 3551804 "Group2"
84 1727660 "Group1"
85 11472740 "Group2"
86 528180 "Group4"
87 3088340 "Group2"
88 749436 "Group3"
89 993741 "Group2"
90 1053446 "Group1"
91 1620386 "Group1"
92 4185709 "Group1"
93 2936490 "Group1"
94 822095 "Group2"
95 3512750 "Group1"
96 1962538 "Group1"
97 1661381 "Group4"
98 1474500 "Group3"
99 236077 "Group2"
100 1995000 "Group1"
101 1322875 "Group1"
102 2210235 "Group2"
103 743075 "Group2"
104 714235 "Group4"
105 1432201 "Group1"
106 2474286 "Group1"
107 3007611 "Group1"
108 1885300 "Group3"
109 3e+06 "Group1"
110 389789 "Group4"
111 1535033 "Group2"
112 1781612 "Group1"
113 3554819 "Group1"
114 437774 "Group3"
115 1416353 "Group1"
116 1301040 "Group1"
117 1446480 "Group1"
118 1467867 "Group2"
119 504113 "Group4"
120 2504242 "Group1"
121 1080593 "Group1"
122 2916254 "Group1"
123 2148520 "Group4"
124 1169705 "Group4"
125 1100000 "Group1"
126 1395029 "Group2"
127 2835698 "Group1"
128 1348981 "Group1"
129 499501 "Group2"
130 420000 "Group1"
131 4643000 "Group1"
132 1842821 "Group2"
133 1596676 "Group1"
134 831255 "Group2"
135 1157221 "Group2"
136 901866 "Group2"
137 328186 "Group1"
138 426266 "Group2"
139 1655169 "Group1"
140 2972158 "Group1"
141 626734 "Group1"
142 814899 "Group3"
143 2366470 "Group1"
144 1579499 "Group2"
145 706793.763 "Group1"
146 2556939 "Group1"
147 2311475 "Group2"
148 3706492 "Group1"
149 634874 "Group1"
150 676000 "Group3"
151 1878061 "Group3"
152 397723 "Group2"
153 759867 "Group2"
154 1902500 "Group1"
155 3167996 "Group2"
156 1e+06 "Group1"
157 276000 "Group2"
158 165794 "Group3"
159 1081120 "Group2"
160 3000001 "Group1"
161 1952000 "Group1"
162 1255623 "Group3"
163 799356 "Group2"
164 3453214 "Group1"
165 527500 "Group2"
166 809250 "Group1"
167 622500 "Group3"
168 1916400 "Group1"
169 1025550 "Group1"
170 527959 "Group4"
171 2017413 "Group1"
172 1487025 "Group2"
173 1923734 "Group2"
174 2290866 "Group2"
175 3060515 "Group1"
176 1502241 "Group1"
177 1028000 "Group1"
178 573688 "Group4"
179 1490145 "Group1"
180 1576239 "Group1"
181 168750 "Group2"
182 1313600 "Group1"
183 1312245 "Group1"
184 715000 "Group2"
185 309250 "Group1"
186 1864250 "Group1"
187 1675460 "Group1"
188 522395 "Group1"
189 333871 "Group2"
190 1688625 "Group1"
191 1782815 "Group1"
192 181675 "Group4"
193 1180452 "Group1"
194 275000 "Group1"
195 1234265 "Group1"
196 1506315 "Group1"
197 0 "Group4"
198 549970 "Group2"
199 861500 "Group2"
200 1272640 "Group1"
201 646250 "Group2"
202 1e+05 "Group2"
203 1510000 "Group1"
204 1020001 "Group1"
205 865530 "Group1"
206 139000 "Group2"
207 45000 "Group2"
208 1465000 "Group1"
209 1060000 "Group1"
210 1230000 "Group1"
211 347000 "Group1"
212 750000 "Group1"
213 0 "Group1"
214 75000 "Group2"
215 1798107 "Group1"
216 840000 "Group1"
217 195000 "Group2"
218 1696983 "Group1"
219 217170 "Group2"
220 152000 "Group2"
221 145000 "Group1"
222 0 "Group1"
223 140000 "Group2"
224 1e+05 "Group1"
225 3e+05 "Group1"
226 1e+05 "Group2"
227 75000 "Group1"
228 185000 "Group2"
229 1e+05 "Group1"
230 0 "Group2"
231 0 "Group2"
