"OrgID" "Group" "Amount" "Release_1" "Release_2" "Release_3" "Release_4" "Release_5"
1 "Group1" 5782457 2891228.5 1445614.25 722807.12 361403.57 361403.56
2 "Group3" 2280221 228022.1 205219.89 184697.9 166228.11 149605.3
3 "Group4" 3260741 0 0 0 0 0
4 "Group1" 3869420 1934710 967355 483677.5 483677.5 0
5 "Group1" 3950578 1975289 987644.5 493822.25 493822.25 0
6 "Group2" 2058883 617664.9 432365.43 302655.8 211859.06 148301.34
7 "Group1" 2949416 1474708 737354 368677 368677 0
8 "Group3" 3062350 306235 275611.5 248050.35 223245.32 200920.78
9 "Group1" 318064 318064 0 0 0 0
10 "Group3" 794417 79441.7 71497.53 64347.78 57913 52121.7
11 "Group1" 4130003 2065001.5 1032500.75 516250.38 258125.18 258125.19
12 "Group2" 3967332 1190199.6 833139.72 583197.8 408238.46 285766.93
13 "Group1" 1005678 502839 251419.5 251419.5 0 0
14 "Group1" 1188248 594124 297062 297062 0 0
15 "Group1" 2850573 1425286.5 712643.25 356321.62 356321.63 0
16 "Group3" 479439 47943.9 43149.51 38834.56 34951.1 31455.99
17 "Group1" 2312295 1156147.5 578073.75 289036.88 289036.87 0
18 "Group4" 1383485 0 0 0 0 0
19 "Group2" 1186700 356010 249207 174444.9 122111.43 284926.67
20 "Group2" 1779662 533898.6 373729.02 261610.31 183127.22 128189.05
21 "Group1" 1879962 939981 469990.5 469990.5 0 0
22 "Group4" 1474556 0 0 0 0 0
23 "Group2" 3089206 926761.8 648733.26 454113.28 317879.3 222515.51
24 "Group1" 1007346 503673 251836.5 251836.5 0 0
25 "Group4" 510804 0 0 0 0 0
26 "Group1" 1981697 990848.5 495424.25 495424.25 0 0
27 "Group4" 518554 0 0 0 0 0
28 "Group3" 1155170 115517 103965.3 93568.77 84211.89 75790.7
29 "Group2" 433781 130134.3 91094.01 212552.69 0 0
30 "Group1" 1142325 571162.5 285581.25 285581.25 0 0
31 "Group1" 977500 488750 488750 0 0 0
32 "Group1" 1e+06 5e+05 5e+05 0 0 0
33 "Group2" 286322 286322 0 0 0 0
34 "Group1" 1859328 929664 464832 464832 0 0
35 "Group1" 1026168 513084 256542 256542 0 0
36 "Group2" 1694679 508403.7 355882.59 249117.81 174382.47 122067.73
37 "Group4" 2059498 0 0 0 0 0
38 "Group2" 723878 217163.4 152014.38 106410.07 248290.15 0
39 "Group1" 782275 391137.5 391137.5 0 0 0
40 "Group1" 741500 370750 370750 0 0 0
41 "Group2" 1131454 339436.2 237605.34 166323.74 116426.62 271662.1
42 "Group2" 3697546 1109263.8 776484.66 543539.26 380477.48 266334.24
43 "Group2" 1068658 320597.4 224418.18 157092.73 109964.91 256584.78
44 "Group1" 1239369 619684.5 309842.25 309842.25 0 0
45 "Group1" 1968804 984402 492201 492201 0 0
46 "Group2" 1086304 325891.2 228123.84 159686.69 111780.68 260821.59
47 "Group1" 2896662 1448331 724165.5 362082.75 362082.75 0
48 "Group1" 1994458 997229 498614.5 498614.5 0 0
49 "Group2" 979437 293831.1 205681.77 143977.24 100784.07 235162.82
50 "Group2" 1272441 381732.3 267212.61 187048.83 130934.18 91653.92
51 "Group3" 482625 48262.5 43436.25 39092.62 35183.36 31665.03
52 "Group1" 3239687 1619843.5 809921.75 404960.88 404960.87 0
53 "Group2" 2627366 788209.8 551746.86 386222.8 270355.96 189249.17
54 "Group2" 1012268 303680.4 212576.28 148803.4 104162.38 243045.54
55 "Group1" 1609594 804797 402398.5 402398.5 0 0
56 "Group1" 2820013 1410006.5 705003.25 352501.62 352501.63 0
57 "Group1" 1467953 733976.5 366988.25 366988.25 0 0
58 "Group1" 2660204 1330102 665051 332525.5 332525.5 0
59 "Group1" 671298 335649 335649 0 0 0
60 "Group1" 1720290 860145 430072.5 430072.5 0 0
61 "Group3" 628891 62889.1 56600.19 50940.17 45846.15 41261.54
62 "Group1" 1213371 606685.5 303342.75 303342.75 0 0
63 "Group3" 1106309 110630.9 99567.81 89611.03 80649.93 72584.93
64 "Group1" 1795304 897652 448826 448826 0 0
65 "Group1" 1058870 529435 264717.5 264717.5 0 0
66 "Group1" 1776440 888220 444110 444110 0 0
67 "Group3" 2069311 206931.1 186237.99 167614.19 150852.77 135767.49
68 "Group2" 1252057 375617.1 262931.97 184052.38 128836.67 90185.66
69 "Group1" 90000 90000 0 0 0 0
70 "Group4" 1172920 0 0 0 0 0
71 "Group2" 421673 126501.9 295171.1 0 0 0
72 "Group1" 1405415 702707.5 351353.75 351353.75 0 0
73 "Group3" 1462662 146266.2 131639.58 118475.62 106628.06 95965.25
74 "Group2" 1374748 412424.4 288697.08 202087.96 141461.57 99023.1
75 "Group2" 985096 295528.8 206870.16 144809.11 101366.38 236521.55
76 "Group1" 1657500 828750 414375 414375 0 0
77 "Group3" 962684 96268.4 86641.56 77977.4 70179.66 63161.7
78 "Group3" 940000 94000 84600 76140 68526 61673.4
79 "Group1" 1210600 605300 302650 302650 0 0
80 "Group1" 815750 407875 407875 0 0 0
81 "Group1" 3963973 1981986.5 990993.25 495496.62 495496.63 0
82 "Group1" 1437457 718728.5 359364.25 359364.25 0 0
83 "Group2" 3551804 1065541.2 745878.84 522115.19 365480.63 255836.44
84 "Group1" 1727660 863830 431915 431915 0 0
85 "Group2" 11472740 3441822 2409275.4 1686492.78 1180544.95 826381.46
86 "Group4" 528180 0 0 0 0 0
87 "Group2" 3088340 926502 648551.4 453985.98 317790.19 222453.13
88 "Group3" 749436 74943.6 67449.24 60704.32 54633.88 49170.5
89 "Group2" 993741 298122.3 208685.61 146079.93 102255.95 238597.21
90 "Group1" 1053446 526723 263361.5 263361.5 0 0
91 "Group1" 1620386 810193 405096.5 405096.5 0 0
92 "Group1" 4185709 2092854.5 1046427.25 523213.62 261606.82 261606.81
93 "Group1" 2936490 1468245 734122.5 367061.25 367061.25 0
94 "Group2" 822095 246628.5 172639.95 120847.96 281978.59 0
95 "Group1" 3512750 1756375 878187.5 439093.75 439093.75 0
96 "Group1" 1962538 981269 490634.5 490634.5 0 0
97 "Group4" 1661381 0 0 0 0 0
98 "Group3" 1474500 147450 132705 119434.5 107491.05 96741.95
99 "Group2" 236077 236077 0 0 0 0
100 "Group1" 1995000 997500 498750 498750 0 0
101 "Group1" 1322875 661437.5 330718.75 330718.75 0 0
102 "Group2" 2210235 663070.5 464149.35 324904.54 227433.18 159203.23
103 "Group2" 743075 222922.5 156045.75 109232.02 254874.73 0
104 "Group4" 714235 0 0 0 0 0
105 "Group1" 1432201 716100.5 358050.25 358050.25 0 0
106 "Group1" 2474286 1237143 618571.5 309285.75 309285.75 0
107 "Group1" 3007611 1503805.5 751902.75 375951.38 375951.37 0
108 "Group3" 1885300 188530 169677 152709.3 137438.37 123694.53
109 "Group1" 3e+06 1500000 750000 375000 375000 0
110 "Group4" 389789 0 0 0 0 0
111 "Group2" 1535033 460509.9 322356.93 225649.85 157954.9 110568.43
112 "Group1" 1781612 890806 445403 445403 0 0
113 "Group1" 3554819 1777409.5 888704.75 444352.38 444352.37 0
114 "Group3" 437774 43777.4 39399.66 35459.69 31913.72 28722.35
115 "Group1" 1416353 708176.5 354088.25 354088.25 0 0
116 "Group1" 1301040 650520 325260 325260 0 0
117 "Group1" 1446480 723240 361620 361620 0 0
118 "Group2" 1467867 440360.1 308252.07 215776.45 151043.51 105730.46
119 "Group4" 504113 0 0 0 0 0
120 "Group1" 2504242 1252121 626060.5 313030.25 313030.25 0
121 "Group1" 1080593 540296.5 270148.25 270148.25 0 0
122 "Group1" 2916254 1458127 729063.5 364531.75 364531.75 0
123 "Group4" 2148520 0 0 0 0 0
124 "Group4" 1169705 0 0 0 0 0
125 "Group1" 1100000 550000 275000 275000 0 0
126 "Group2" 1395029 418508.7 292956.09 205069.26 143548.48 100483.94
127 "Group1" 2835698 1417849 708924.5 354462.25 354462.25 0
128 "Group1" 1348981 674490.5 337245.25 337245.25 0 0
129 "Group2" 499501 149850.3 104895.21 244755.49 0 0
130 "Group1" 420000 420000 0 0 0 0
131 "Group1" 4643000 2321500 1160750 580375 290187.5 290187.5
132 "Group2" 1842821 552846.3 386992.41 270894.69 189626.28 132738.4
133 "Group1" 1596676 798338 399169 399169 0 0
134 "Group2" 831255 249376.5 174563.55 122194.49 285120.46 0
135 "Group2" 1157221 347166.3 243016.41 170111.49 119078.04 277848.76
136 "Group2" 901866 270559.8 189391.86 132574.3 92802.01 216538.03
137 "Group1" 328186 328186 0 0 0 0
138 "Group2" 426266 127879.8 298386.2 0 0 0
139 "Group1" 1655169 827584.5 413792.25 413792.25 0 0
140 "Group1" 2972158 1486079 743039.5 371519.75 371519.75 0
141 "Group1" 626734 313367 313367 0 0 0
142 "Group3" 814899 81489.9 73340.91 66006.82 59406.14 53465.52
143 "Group1" 2366470 1183235 591617.5 295808.75 295808.75 0
144 "Group2" 1579499 473849.7 331694.79 232186.35 162530.45 113771.31
145 "Group1" 706793.763 353396.88 353396.883 0 0 0
146 "Group1" 2556939 1278469.5 639234.75 319617.38 319617.37 0
147 "Group2" 2311475 693442.5 485409.75 339786.83 237850.78 166495.54
148 "Group1" 3706492 1853246 926623 463311.5 463311.5 0
149 "Group1" 634874 317437 317437 0 0 0
150 "Group3" 676000 67600 60840 54756 49280.4 44352.36
151 "Group3" 1878061 187806.1 169025.49 152122.94 136910.65 123219.58
152 "Group2" 397723 119316.9 278406.1 0 0 0
153 "Group2" 759867 227960.1 159572.07 111700.45 260634.38 0
154 "Group1" 1902500 951250 475625 475625 0 0
155 "Group2" 3167996 950398.8 665279.16 465695.41 325986.79 228190.75
156 "Group1" 1e+06 5e+05 5e+05 0 0 0
157 "Group2" 276000 276000 0 0 0 0
158 "Group3" 165794 16579.4 14921.46 13429.31 12086.38 10877.75
159 "Group2" 1081120 324336 227035.2 158924.64 111247.25 259576.91
160 "Group1" 3000001 1500000.5 750000.25 375000.12 375000.13 0
161 "Group1" 1952000 976000 488000 488000 0 0
162 "Group3" 1255623 125562.3 113006.07 101705.46 91534.92 82381.42
163 "Group2" 799356 239806.8 167864.76 117505.33 274179.11 0
164 "Group1" 3453214 1726607 863303.5 431651.75 431651.75 0
165 "Group2" 527500 158250 110775 258475 0 0
166 "Group1" 809250 404625 404625 0 0 0
167 "Group3" 622500 62250 56025 50422.5 45380.25 40842.23
168 "Group1" 1916400 958200 479100 479100 0 0
169 "Group1" 1025550 512775 256387.5 256387.5 0 0
170 "Group4" 527959 0 0 0 0 0
171 "Group1" 2017413 1008706.5 504353.25 252176.62 252176.63 0
172 "Group2" 1487025 446107.5 312275.25 218592.67 153014.87 107110.41
173 "Group2" 1923734 577120.2 403984.14 282788.9 197952.23 138566.56
174 "Group2" 2290866 687259.8 481081.86 336757.3 235730.11 165011.08
175 "Group1" 3060515 1530257.5 765128.75 382564.38 382564.37 0
176 "Group1" 1502241 751120.5 375560.25 375560.25 0 0
177 "Group1" 1028000 514000 257000 257000 0 0
178 "Group4" 573688 0 0 0 0 0
179 "Group1" 1490145 745072.5 372536.25 372536.25 0 0
180 "Group1" 1576239 788119.5 394059.75 394059.75 0 0
181 "Group2" 168750 168750 0 0 0 0
182 "Group1" 1313600 656800 328400 328400 0 0
183 "Group1" 1312245 656122.5 328061.25 328061.25 0 0
184 "Group2" 715000 214500 150150 105105 245245 0
185 "Group1" 309250 309250 0 0 0 0
186 "Group1" 1864250 932125 466062.5 466062.5 0 0
187 "Group1" 1675460 837730 418865 418865 0 0
188 "Group1" 522395 261197.5 261197.5 0 0 0
189 "Group2" 333871 100161.3 233709.7 0 0 0
190 "Group1" 1688625 844312.5 422156.25 422156.25 0 0
191 "Group1" 1782815 891407.5 445703.75 445703.75 0 0
192 "Group4" 181675 0 0 0 0 0
193 "Group1" 1180452 590226 295113 295113 0 0
194 "Group1" 275000 275000 0 0 0 0
195 "Group1" 1234265 617132.5 308566.25 308566.25 0 0
196 "Group1" 1506315 753157.5 376578.75 376578.75 0 0
197 "Group4" 0 0 0 0 0 0
198 "Group2" 549970 164991 115493.7 269485.3 0 0
199 "Group2" 861500 258450 180915 126640.5 295494.5 0
200 "Group1" 1272640 636320 318160 318160 0 0
201 "Group2" 646250 193875 135712.5 94998.75 221663.75 0
202 "Group2" 1e+05 1e+05 0 0 0 0
203 "Group1" 1510000 755000 377500 377500 0 0
204 "Group1" 1020001 510000.5 255000.25 255000.25 0 0
205 "Group1" 865530 432765 432765 0 0 0
206 "Group2" 139000 139000 0 0 0 0
207 "Group2" 45000 45000 0 0 0 0
208 "Group1" 1465000 732500 366250 366250 0 0
209 "Group1" 1060000 530000 265000 265000 0 0
210 "Group1" 1230000 615000 307500 307500 0 0
211 "Group1" 347000 347000 0 0 0 0
212 "Group1" 750000 375000 375000 0 0 0
213 "Group1" 0 0 0 0 0 0
214 "Group2" 75000 75000 0 0 0 0
215 "Group1" 1798107 899053.5 449526.75 449526.75 0 0
216 "Group1" 840000 420000 420000 0 0 0
217 "Group2" 195000 195000 0 0 0 0
218 "Group1" 1696983 848491.5 424245.75 424245.75 0 0
219 "Group2" 217170 217170 0 0 0 0
220 "Group2" 152000 152000 0 0 0 0
221 "Group1" 145000 145000 0 0 0 0
222 "Group1" 0 0 0 0 0 0
223 "Group2" 140000 140000 0 0 0 0
224 "Group1" 1e+05 1e+05 0 0 0 0
225 "Group1" 3e+05 3e+05 0 0 0 0
226 "Group2" 1e+05 1e+05 0 0 0 0
227 "Group1" 75000 75000 0 0 0 0
228 "Group2" 185000 185000 0 0 0 0
229 "Group1" 1e+05 1e+05 0 0 0 0
230 "Group2" 0 0 0 0 0 0
231 "Group2" 0 0 0 0 0 0
