"NetCashOps" "NCF.pf" "TotalProperties" "Presence"
4568341 -169763.83 14 "1"
783934 281719 15 "1"
-663405 568187.42 15 "1"
5509705 2996826.02 14 "1"
2917329 3408174.44 17 "1"
1508056 3490634.94 17 "1"
-3991650 4679070.5 18 "1"
-976155 6046581.23 18 "1"
235360 77105.43 11 "1"
-29448 129135.58 11 "1"
806927 94910.98 11 "1"
1988511 -125820 11 "1"
1142024 42034 6 "1"
1485327 312911 6 "1"
57612 -296067 7 "1"
923241 388378 13 "1"
1942370 139597 12 "1"
-755075 443561.49 14 "0"
117505 599567.77 14 "0"
-69244 566152.07 15 "0"
15350741 713066.41 15 "0"
1164769 474181.04 16 "0"
5958640 1209931 17 "0"
1992149 965827.24 16 "1"
1567634 1232177.36 8 "0"
345193 730278 8 "0"
2017813 1235874 8 "0"
305259 1309004 10 "0"
-547458 1225587 10 "0"
1748446 1183213 11 "0"
-389320 103308 6 "1"
839147 165051 6 "1"
447504 733112.94 6 "1"
1516896 2960028 7 "1"
675010 660432 6 "1"
1606116 26962.27 3 "1"
573561 -62662.67 3 "1"
-767569 224552.7 3 "1"
994542 11321.99 3 "1"
1148366 68150.16 3 "1"
2672343 585275.61 4 "1"
1275466 348856.17 4 "1"
424646 -28991 4 "1"
-7960 16455 4 "1"
7557434 22655 4 "1"
805709 83910 4 "1"
6293066 4163 4 "1"
2351580 73177 4 "1"
10655839 173940 4 "1"
-81188 174830.7 10 "1"
1238945 -103164.11 10 "1"
2147423 39185.75 10 "1"
4059955 218238.02 12 "1"
4804983 64379.99 12 "1"
6568136 94587.32 11 "1"
10422134 191668.73 13 "1"
12352159 145477 13 "0"
1292390 67042 4 "1"
1370159 41004 4 "1"
1307800 158354.75 3 "1"
1360729 75610 3 "1"
1546049 117975 3 "1"
1748760 115665 2 "1"
1733573 154326.03 3 "1"
1875737 272420 6 "1"
1499068 278876.71 1 "0"
1400486 435442 1 "0"
520142 392549 1 "0"
-23676 142172 4 "0"
1664264 -17044 4 "0"
2087827 176758 5 "0"
208113 72021.96 5 "0"
380619 258801 7 "0"
826925 330656 8 "0"
1237207 212204 9 "0"
1296717 260768 9 "0"
837325 80725 19 "0"
586663 172819.4 21 "0"
566035 115387 21 "0"
675936 30953 23 "0"
320832 118236 22 "0"
1884615 687066.48 10 "1"
3079422 873254 11 "1"
2745259 1058146 10 "1"
1831098 898959 9 "1"
3248095 1026275 11 "1"
1710764 933363 12 "1"
18291 18122 4 "0"
63843 76135 4 "1"
165121 77556 3 "1"
70895 324364 3 "1"
171556 292572 3 "1"
72218 234261 3 "1"
169486 131684 3 "0"
254456 361686 3 "0"
-309163 -172730.59 4 "1"
1076974 67156.22 4 "0"
-298103 167659.18 4 "0"
-290127 284505.35 4 "0"
-2225340 260156 4 "0"
6800845 2120716.5 7 "0"
903772 2183408.5 8 "0"
441646 65194 9 "0"
4929900 5640 9 "0"
474787 -3059 15 "0"
2762508 -1180.08 15 "0"
672332 143995.16 17 "0"
2329604 163884.33 17 "0"
543468 184715.9 17 "0"
1232083 311184 14 "0"
267447 -24265 3 "1"
3044452 82412.9 3 "1"
-1382490 44035.08 4 "1"
-779877 73844.51 4 "1"
1086581 26648 4 "1"
23025 8463 9 "0"
164103 42498 4 "1"
636582 -35608 2 "1"
-147123 67559.27 3 "1"
124956 14960.74 4 "1"
399443 -97868.2 4 "1"
-81162 -54027.05 3 "1"
969749 621627.47 8 "0"
1762294 502082 8 "0"
2082177 664630 8 "0"
338125 556035.69 10 "0"
2326829 729081.18 10 "0"
139799 -75074.96 4 "0"
-75702 67627.18 5 "0"
-15643 14325.85 5 "0"
81830 62369 5 "0"
-747616 1887837.27 15 "0"
6382217 2238163.53 14 "0"
1318067 341101.09 23 "0"
672882 273915.16 23 "0"
3914888 32483 24 "0"
1314608 177221 16 "0"
2229293 328254 15 "0"
488089 30162 16 "0"
591759 1063322 18 "0"
1749474 515007.79 18 "0"
5550809 474963 18 "0"
1999963 894755 20 "0"
1119792 55806.17 4 "1"
2136570 74338.27 5 "1"
-246987 175514.04 5 "0"
3260955 77555.66 6 "0"
-2365779 134365.64 6 "0"
90224 -27077.68 7 "0"
1166706 159084 7 "0"
912030 -37327.77 1 "0"
510228 -4988.99 1 "0"
1870253 228673.85 31 "1"
859896 230067.65 35 "1"
529980 546280.98 36 "1"
-25413 117413 38 "1"
1286911 349685.19 14 "0"
2627102 545812.8 14 "0"
5672880 573573.48 17 "0"
4290761 940600.91 17 "0"
1071910 1220385.64 17 "0"
12247918 1681514.19 18 "0"
695723 56071.96 9 "0"
3498809 34877 9 "0"
993533 76044 9 "1"
482231 8071.6 10 "0"
2362490 43159 10 "0"
428445 4669.69 10 "0"
187647 79357 10 "0"
-962474 -7664 3 "0"
-608712 -46006.65 3 "0"
1879158 18766.89 3 "0"
253950 -19282.22 3 "0"
-36481 -69224 4 "0"
-85334 88346.1 4 "0"
-712028 70675 4 "0"
1452048 50638 4 "0"
305571 -98728 6 "1"
1715032 -51116 6 "1"
716457 -37557 7 "1"
1588945 137203 7 "1"
3273960 -6800 7 "1"
673881 102983 8 "1"
315190 -7234.36 7 "1"
873589 1700.64 7 "1"
431311 85931 8 "1"
575910 123608 6 "0"
1079539 -22238.98 6 "0"
439229 -183717.07 6 "0"
760085 126614.63 7 "0"
2110069 162542.76 15 "1"
